tab 	specimens
analysts	citations	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-7		Y211-7b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-8		Y211-8a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y211-9		Y211-9a
	This study			Y213_chrm	1.6	345.7	69.5	0.8	1	12	0	Y213-10a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 17:06:43	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y213-10	pmagpy-4.2.108: demag_gui	Y213-10a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-10		Y213-10a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-11		Y213-11a
	This study			Y213_chrm	1.2	340.8	58.5	0.7	1	15	0	Y213-1a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-23 15:25:16	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y213-1	pmagpy-4.2.108: demag_gui	Y213-1a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-1		Y213-1a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-1		Y213-1b
	This study			Y213_chrm	0.2	340	58.6	0.7	1	6	0	Y213-1b_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-10 17:19:00	u	Rhyolite	793	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y213-1	pmagpy-4.2.108: demag_gui	Y213-1b
	This study			Y213_chrm	0.2	326.1	66.1	0.9	1	6	0	Y213-2a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-18 14:40:58	u	Rhyolite	773	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y213-2	pmagpy-4.2.108: demag_gui	Y213-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-2		Y213-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-3		Y213-3a
